[2025-05-17 22:01:07.278] [main] [info] [saleae_log.cpp:327] Logfile path set to: /home/thinh/.config/Logic/logs/2025-05-17_22-01-02_70fe0b93-c813-4a6a-8d2b-0f300245a4b0/graphio.log
[2025-05-17 22:01:07.278] [main] [critical] [saleae_log.cpp:330] Global logging level is set to: info
[2025-05-17 22:01:14.193] [main] [info] [graph_server.cpp:820] DeleteGraphData SeesionId: -2
[2025-05-17 22:01:14.193] [main] [info] [graph_server.cpp:844] DeleteGraph( -2 ) called
[2025-05-17 22:01:14.447] [usb] [info] [DevicesManager.cpp:167] Resetting DevicesManager
[2025-05-17 22:01:14.462] [device] [info] [GenericDevice.cpp:57] Updating device state (Logic8/0xF4243) from DSInitializing(msg=, progress=0%) to DSReady()
[2025-05-17 22:01:14.462] [device] [info] [GenericDevice.cpp:57] Updating device state (LogicPro8/0xF4244) from DSInitializing(msg=, progress=0%) to DSReady()
[2025-05-17 22:01:14.462] [device] [info] [GenericDevice.cpp:57] Updating device state (LogicPro16/0xF4241) from DSInitializing(msg=, progress=0%) to DSReady()
[2025-05-17 22:01:26.837] [store] [info] [digital_store.cpp:305] DigitalStore::OnStartDeserialization: Creating deserialization thread
[2025-05-17 22:01:26.837] [store] [info] [digital_store.cpp:305] DigitalStore::OnStartDeserialization: Creating deserialization thread
[2025-05-17 22:01:26.837] [store] [info] [digital_store.cpp:317] Deserializing data from file: /tmp/66901454-65ae-4dfb-a856-d5e2d6952a7e/digital-0.bin
[2025-05-17 22:01:26.837] [main] [info] [digital_data_collection_serialize.h:16] Loading data, version=1
[2025-05-17 22:01:26.837] [store] [info] [digital_store.cpp:317] Deserializing data from file: /tmp/66901454-65ae-4dfb-a856-d5e2d6952a7e/digital-1.bin
[2025-05-17 22:01:26.837] [main] [info] [digital_data_collection_serialize.h:16] Loading data, version=1
[2025-05-17 22:01:26.842] [store] [info] [digital_store.cpp:394] Done processing!
[2025-05-17 22:01:26.842] [store] [info] [digital_store.cpp:394] Done processing!
[2025-05-17 22:01:27.314] [main] [info] [analyzer_node.cpp:1957] named pipe connected
[2025-05-17 22:01:27.577] [main] [info] [analyzer_node.cpp:1922] all frames written to database
[2025-05-17 22:01:29.063] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1435.340 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:01:44.064] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1435.875 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:01:59.066] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1561.902 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:02:14.068] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1529.047 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:02:29.069] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1495.805 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:02:44.070] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1494.855 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:02:59.072] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1412.613 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:03:14.073] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1374.969 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:03:29.075] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1354.195 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:03:44.076] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1359.465 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:03:59.079] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1577.805 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:04:14.080] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1562.828 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:04:29.081] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1571.508 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:04:44.083] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1477.121 MB, proc_mem_usage=-0.000 MB
